preferred_label,alt_labels,type
manage musical staff,manage staff of music|coordinate duties of musical staff|manage music staff|direct musical staff,skill
supervise correctional procedures,oversee prison procedures|manage correctional procedures|monitor correctional procedures|manage prison procedures|monitor prison procedures|oversee correctional procedures,skill
apply anti-oppressive practices,apply non-oppressive practices|apply an anti-oppressive practice|make use of anti-oppressive practices|act in a non-oppressive way|identify oppression in societies and groups|apply anti-oppresive practice|use anti-oppressive practices,skill
control compliance of railway vehicles regulations,monitoring of compliance with railway vehicles regulations|monitoring of compliance with rolling stock regulations|checking compliance with rolling stock regulations|control compliance of regulations of rolling stock|inspection of compliance with rolling stock regulations|ensuring compliance with railway vehicles regulations|compliance controls of railway vehicles regulations|conduct controls of compliance of railway vehicles regulations,skill
identify available services,establish available services|determine rehabilitation services|analyse rehabilitation services|establish rehabilitation services|determine available services|analyse available services|classify available services|classify rehabilitation services,skill
perform toxicological studies,apply toxicological testing methods|perform toxicological tests|perform toxicological study|carry out toxicological studies,skill
ensure coquille uniformity,ensure uniformity of coquille|checking that coquille is uniform|ensuring uniformity of coquille|ensuring coquille is uniform|ensure coquille is uniform|ensuring of coquille uniformity|make sure coquille is uniform|check that coquille is uniform,skill
Haskell,Haskell techniques,knowledge
show initiative,take the initiative|give impetus|be a driving force|demonstrate sense of initiative|initiate action|show sense of initiative|show active initiative,skill
train staff to reduce food waste,teach students food waste reduction practices|inform staff on food waste reduction practices|educate workers on food recycling methods|educate staff on food waste reduction,skill
apply diplomatic principles,utilise diplomacy principles|administer diplomacy principles|use diplomatic principles|implement diplomacy principles|utilise diplomatic principles|implement diplomatic principles|use diplomacy principles|administer diplomatic principles,skill
lead police investigations,supervise police investigations|manage police enquiries|supervise police enquiries|oversee police investigations|manage police investigations|oversee police enquiries,skill
handle fish harvesting waste,dispose of waste from fish harvesting|fish harvesting waste handling|fish harvesting waste disposing|dispose of fish harvesting waste,skill
develop energy saving concepts,create concepts for energy saving|energy saving concepts developing|creating energy saving concepts|creating concepts for energy saving|create energy saving concepts|energy saving concepts creating|develop concepts for energy saving,skill
perform street interventions in social work,do street interventions in social work|perform street-intervention in social work|perform street intervention in social-work|perform street-intervention in social-work|conduct outreach activites|carry out street interventions in social work,skill
work with soloists,collaborate with soloists|work with a soloist|communicate with solo artists,skill
sport and exercise medicine,sports injury treatment|sports medicine|exercise and sports medicine|sports injury medicine,knowledge
conduct research on flora,carry out research on flora|flora research|perform research on flora|run research on flora|research on flora,skill
install heat pump,installation of heat pumps|commission heat pumps|heat pump commissioning|commissioning of heat pump|commission heat pump|heat pump installation|commissioning heat pump|commissioning heat pumps|installation of heat pump|commissioning of heat pumps|heat pump installing,skill
design biomass installations,design biomass energy system|design biomass installation|calculate capacity indicators for biomass installations|design biomass system|determine construction boundaries for biomass energy systems,skill
handle equipment while suspended,using climbing equipment|equipment handling while suspended|use climbing equipment while on a rope|use climbing equipment|using climbing equipment while on a rope,skill
